name,position,college,draft_year,ras,metrics_used,forty,vertical,broad_jump,shuttle,cone,bench,ht_inches,wt_lbs,pfr_id,source
Jerome Collins,TE,Notre Dame,2005,5.24,5,4.71,,118.0,,,21.0,76.0,267.0,CollJe00,nflverse-combine-derived
Jonas Crafts,TE,Texas-El Paso,2005,4.16,4,4.89,,,,,24.0,75.0,247.0,,nflverse-combine-derived
Airese Currie,WR,Clemson,2005,5.3,7,4.49,38.0,125.0,4.07,7.05,,70.0,186.0,CurrAi00,nflverse-combine-derived
Tony Curtis,TE,Portland State,2005,4.8,5,4.93,,115.0,,,21.0,77.0,269.0,CurtTo00,nflverse-combine-derived
Josh Davis,WR,Marshall,2005,4.88,7,4.52,37.5,118.0,4.22,7.19,,72.0,191.0,,nflverse-combine-derived
Anthony Davis,RB,Wisconsin,2005,4.97,7,4.5,38.0,121.0,,7.39,18.0,67.0,200.0,,nflverse-combine-derived
Ben Dougherty,QB,Florida A&M,2005,4.69,7,4.72,33.0,108.0,4.34,7.41,,74.0,222.0,,nflverse-combine-derived
Joel Dreessen,TE,Colorado State,2005,5.82,8,4.72,36.0,113.0,4.01,7.09,22.0,76.0,260.0,DreeJo00,nflverse-combine-derived
Kevin Dudley,RB,Michigan,2005,4.38,8,4.91,30.0,109.0,4.56,7.25,19.0,72.0,238.0,DudlKe00,nflverse-combine-derived
Braylon Edwards,WR,Michigan,2005,6.76,3,4.45,,,,,,75.0,211.0,EdwaBr00,nflverse-combine-derived
Kevin Everett,TE,Miami (FL),2005,4.61,3,4.72,,,,,,77.0,241.0,EverKe00,nflverse-combine-derived
Ciatrick Fason,RB,Florida,2005,5.85,3,4.58,,,,,,73.0,207.0,FasoCi00,nflverse-combine-derived
Ryan Fitzpatrick,QB,Harvard,2005,5.09,7,4.86,30.5,105.0,4.07,7.09,,74.0,232.0,FitzRy00,nflverse-combine-derived
Charles Frederick,WR,Washington,2005,3.29,7,4.78,33.0,108.0,4.25,7.39,,71.0,194.0,,nflverse-combine-derived
Charlie Frye,QB,Akron,2005,5.93,7,4.79,33.0,113.0,4.08,6.94,,76.0,225.0,FryeCh00,nflverse-combine-derived
Lionel Gates,RB,Louisville,2005,6.14,8,4.6,36.0,121.0,4.1,7.17,23.0,72.0,222.0,GateLi00,nflverse-combine-derived
Fred Gibson,WR,Georgia,2005,6.02,7,4.55,38.5,126.0,4.1,7.03,,76.0,196.0,,nflverse-combine-derived
Howard Gilmore,WR,Norfolk State,2005,3.52,7,4.71,36.0,113.0,4.44,7.56,,72.0,194.0,,nflverse-combine-derived
Frank Gore,RB,Miami (FL),2005,4.93,3,4.58,,,,,,69.0,217.0,GoreFr00,nflverse-combine-derived
Ryan Grant,RB,Notre Dame,2005,5.82,8,4.43,33.5,115.0,4.12,7.08,17.0,73.0,215.0,GranRy00,nflverse-combine-derived
Justin Green,RB,Montana,2005,5.15,8,4.84,31.0,109.0,4.21,7.24,23.0,71.0,251.0,GreeJu00,nflverse-combine-derived
David Greene,QB,Georgia,2005,5.7,7,4.78,31.5,115.0,4.1,7.0,,75.0,226.0,,nflverse-combine-derived
Kelly Griffeth,TE,Fort Hays State,2005,4.64,8,4.9,28.0,103.0,4.27,7.25,21.0,77.0,284.0,,nflverse-combine-derived
Gino Guidugli,QB,Cincinnati,2005,4.01,7,5.0,29.0,103.0,4.52,7.41,,76.0,229.0,,nflverse-combine-derived
Josh Haldi,QB,Northern Illinois,2005,5.77,7,4.64,33.0,113.0,4.07,6.89,,74.0,215.0,,nflverse-combine-derived
Reggie Harrell,WR,TCU,2005,5.03,7,4.58,35.0,115.0,4.11,7.42,,75.0,214.0,,nflverse-combine-derived
Kay-Jay Harris,RB,West Virginia,2005,6.67,7,4.56,38.0,122.0,4.1,7.2,,72.0,241.0,HarrKa00,nflverse-combine-derived
Alex Haynes,RB,Central Florida,2005,5.21,5,4.51,32.5,,,,21.0,70.0,223.0,HaynAl00,nflverse-combine-derived
Madison Hedgecock,RB,North Carolina,2005,5.89,8,4.87,32.5,108.0,4.24,7.41,29.0,75.0,266.0,HedgMa00,nflverse-combine-derived
Chris Henry,WR,West Virginia,2005,6.28,3,4.5,,,,,,76.0,197.0,HenrCh00,nflverse-combine-derived
Noah Herron,RB,Northwestern,2005,5.36,8,4.6,31.0,108.0,3.97,6.95,17.0,71.0,224.0,HerrNo00,nflverse-combine-derived
Efrem Hill,WR,Samford,2005,4.76,7,4.58,37.5,124.0,4.07,7.42,,72.0,179.0,,nflverse-combine-derived
Alex Holmes,TE,USC,2005,3.36,4,5.04,,,,,18.0,74.0,265.0,HolmAl00,nflverse-combine-derived
Cedric Houston,RB,Tennessee,2005,5.68,3,4.61,,,,,,71.0,225.0,HousCe00,nflverse-combine-derived
Ray Hudson,RB,Alabama,2005,4.39,4,4.5,,,,,15.0,70.0,192.0,,nflverse-combine-derived
Vincent Jackson,WR,Northern Colorado,2005,7.76,4,4.46,39.0,,,,,77.0,241.0,JackVi00,nflverse-combine-derived
Tony Jackson,TE,Iowa,2005,4.49,8,4.75,33.0,113.0,4.48,7.5,23.0,74.0,266.0,,nflverse-combine-derived
Brandon Jacobs,RB,Southern Illinois,2005,6.29,8,4.56,37.0,118.0,4.46,7.53,19.0,76.0,267.0,JacoBr00,nflverse-combine-derived
Brandon Jones,WR,Oklahoma,2005,5.66,7,4.42,37.0,114.0,4.08,7.03,,73.0,210.0,JoneBr02,nflverse-combine-derived
Matt Jones,TE,Arkansas,2005,6.95,5,4.37,39.5,129.0,,,,78.0,242.0,JoneMa00,nflverse-combine-derived
Keith Joseph,RB,Texas A&M,2005,6.02,8,4.68,33.0,113.0,4.2,7.43,27.0,74.0,254.0,JoseKe00,nflverse-combine-derived
Dave Kashetta,TE,Boston Col.,2005,4.46,8,4.87,35.5,113.0,4.34,7.34,17.0,75.0,247.0,,nflverse-combine-derived
Stefan LeFors,QB,Louisville,2005,5.12,7,4.56,31.0,111.0,4.09,7.03,,72.0,208.0,,nflverse-combine-derived
Dustin Long,QB,SMU,2005,5.4,7,4.67,30.5,108.0,4.08,6.77,,74.0,208.0,,nflverse-combine-derived
Chase Lyman,WR,California,2005,6.7,3,4.5,,,,,,75.0,217.0,,nflverse-combine-derived
Tony Madison,WR,Kansas State,2005,5.48,7,4.52,39.0,121.0,4.3,7.13,,73.0,213.0,,nflverse-combine-derived
Tommy Manus,WR,South Florida,2005,5.64,7,4.55,38.0,120.0,4.34,7.2,,76.0,222.0,,nflverse-combine-derived
Rasheed Marshall,WR,West Virginia,2005,5.72,7,4.51,38.0,121.0,3.95,6.81,,72.0,185.0,MarsRa00,nflverse-combine-derived
Jerome Mathis,WR,Kansas State,2005,5.34,5,4.28,35.5,123.0,,,,71.0,181.0,MathJe00,nflverse-combine-derived
Will Matthews,RB,Texas,2005,5.81,3,4.98,,,,,,73.0,248.0,,nflverse-combine-derived
Leron McCoy,WR,Indiana (PA),2005,5.6,7,4.4,37.0,120.0,4.21,7.19,,73.0,211.0,McCoLe00,nflverse-combine-derived
T.A. McLendon,RB,North Carolina State,2005,5.66,8,4.71,35.0,117.0,4.19,7.34,27.0,70.0,235.0,,nflverse-combine-derived
Adrian McPherson,QB,Florida State,2005,6.52,8,4.71,34.5,128.0,4.08,6.93,22.0,75.0,218.0,,nflverse-combine-derived
Heath Miller,TE,Virginia,2005,4.78,3,4.79,,,,,,77.0,256.0,MillHe00,nflverse-combine-derived
Ryan Moats,RB,Louisiana Tech,2005,5.41,8,4.46,36.0,117.0,4.1,7.22,19.0,68.0,210.0,MoatRy00,nflverse-combine-derived
Lance Moore,WR,Toledo,2005,3.7,3,4.52,,,,,,69.0,177.0,MoorLa00,nflverse-combine-derived
Vernand Morency,RB,Oklahoma State,2005,5.06,8,4.66,33.5,108.0,4.12,7.02,19.0,70.0,212.0,MoreVe00,nflverse-combine-derived
Terrence Murphy,WR,Texas A&M,2005,6.25,3,4.39,,,,,,73.0,202.0,MurpTe00,nflverse-combine-derived
Craig Ochs,QB,Montana,2005,4.68,7,4.87,28.5,104.0,4.13,7.03,,74.0,218.0,,nflverse-combine-derived
Dan Orlovsky,QB,Connecticut,2005,4.62,7,4.93,29.5,107.0,4.39,7.33,,77.0,225.0,OrloDa00,nflverse-combine-derived
Kyle Orton,QB,Purdue,2005,4.03,6,5.06,26.5,,4.52,7.38,,76.0,233.0,OrtoKy00,nflverse-combine-derived
Chad Owens,WR,Hawaii,2005,4.76,7,4.62,37.0,116.0,3.94,6.7,,67.0,183.0,OwenCh00,nflverse-combine-derived
Roscoe Parrish,WR,Miami (FL),2005,4.43,3,4.37,,,,,,70.0,168.0,ParrRo00,nflverse-combine-derived
Alvin Pearman,RB,Virginia,2005,5.38,8,4.63,34.0,114.0,4.08,7.06,24.0,69.0,208.0,PearAl00,nflverse-combine-derived
Tab Perry,WR,UCLA,2005,5.72,6,4.46,34.0,116.0,,7.0,,74.0,229.0,PerrTa00,nflverse-combine-derived
Bobby Purify,RB,Colorado,2005,5.22,8,4.67,33.5,116.0,4.13,7.22,15.0,72.0,210.0,,nflverse-combine-derived
Bryan Randall,QB,Virginia Tech,2005,5.44,7,4.71,33.0,113.0,4.08,6.97,,72.0,225.0,,nflverse-combine-derived
Jamaica Rector,WR,Northwest Missouri State,2005,5.32,7,4.47,36.5,122.0,4.13,6.78,,70.0,186.0,RectJa00,nflverse-combine-derived
Walter Reyes,RB,Syracuse,2005,4.55,8,4.52,32.0,109.0,4.38,7.23,16.0,70.0,209.0,,nflverse-combine-derived
Dante' Ridgeway,WR,Ball State,2005,4.31,7,4.57,33.0,117.0,4.39,7.25,,71.0,212.0,,nflverse-combine-derived
Chris Rix,QB,Florida State,2005,4.5,7,4.7,33.5,116.0,4.53,7.53,,74.0,214.0,,nflverse-combine-derived
Courtney Roby,WR,Indiana,2005,6.31,7,4.41,36.5,126.0,3.94,6.6,,72.0,189.0,RobyCo00,nflverse-combine-derived
Aaron Rodgers,QB,California,2005,4.84,6,4.71,34.5,110.0,,7.38,,74.0,223.0,RodgAa00,nflverse-combine-derived
J.R. Russell,WR,Louisville,2005,5.55,4,4.56,34.5,,,,,75.0,206.0,,nflverse-combine-derived
Steve Savoy,WR,Utah,2005,4.2,3,4.62,,,,,,71.0,192.0,,nflverse-combine-derived
Bo Scaife,TE,Texas,2005,5.16,8,4.75,32.5,114.0,4.12,7.21,24.0,75.0,249.0,ScaiBo00,nflverse-combine-derived
Dan Sheldon,WR,Northern Illinois,2005,4.23,3,4.43,,,,,,69.0,179.0,,nflverse-combine-derived
Eric Shelton,RB,Louisville,2005,6.86,7,4.53,38.5,124.0,4.08,7.44,,73.0,246.0,ShelEr00,nflverse-combine-derived
Alex Smith,TE,Stanford,2005,5.03,4,4.88,,,,,28.0,76.0,258.0,SmitAl02,nflverse-combine-derived
Alex Smith,QB,Utah,2005,6.15,7,4.71,32.0,113.0,3.96,6.82,,76.0,217.0,SmitAl03,nflverse-combine-derived
Darren Sproles,RB,Kansas State,2005,4.81,8,4.47,33.0,105.0,3.96,6.96,23.0,66.0,187.0,SproDa00,nflverse-combine-derived
Chauncey Stovall,WR,Florida State,2005,5.7,3,4.62,,,,,,73.0,221.0,,nflverse-combine-derived
Craphonso Thorpe,WR,Florida State,2005,5.83,3,4.38,,,,,,73.0,188.0,ThorCr00,nflverse-combine-derived
Zach Tuiasosopo,RB,Washington,2005,3.67,8,5.0,25.5,100.0,4.67,7.57,19.0,74.0,249.0,,nflverse-combine-derived
Andrew Walter,QB,Arizona State,2005,6.06,3,4.86,,,,,,78.0,233.0,WaltAn00,nflverse-combine-derived
Paris Warren,WR,Utah,2005,4.35,4,4.71,31.5,,,,,72.0,219.0,WarrPa00,nflverse-combine-derived
Isaac West,WR,Furman,2005,5.12,7,4.46,37.0,124.0,4.22,7.21,,72.0,187.0,,nflverse-combine-derived
Jason White,QB,Oklahoma,2005,4.67,7,4.9,31.0,108.0,4.19,7.28,,74.0,223.0,,nflverse-combine-derived
Manuel White,RB,UCLA,2005,7.06,3,4.64,,,,,,74.0,244.0,,nflverse-combine-derived
Roddy White,WR,Ala-Birmingham,2005,6.06,3,4.46,,,,,,73.0,207.0,WhitRo00,nflverse-combine-derived
Cadillac Williams,RB,Auburn,2005,5.98,8,4.43,35.5,118.0,4.15,6.94,19.0,71.0,217.0,WillCa02,nflverse-combine-derived
Mike Williams,WR,USC,2005,6.76,4,4.56,36.5,,,,,77.0,229.0,WillMi03,nflverse-combine-derived
Troy Williamson,WR,South Carolina,2005,6.46,4,4.32,,,,6.99,,73.0,203.0,WillTr01,nflverse-combine-derived
Joseph Addai,RB,LSU,2006,5.9,8,4.4,38.5,125.0,4.47,7.09,18.0,71.0,214.0,AddaJo00,nflverse-combine-derived
David Anderson,WR,Colorado State,2006,4.59,7,4.57,34.0,116.0,4.2,6.88,,70.0,192.0,AndeDa01,nflverse-combine-derived
Devin Aromashodu,WR,Auburn,2006,6.04,7,4.35,39.0,120.0,4.16,7.04,,74.0,201.0,AromDe00,nflverse-combine-derived
Miles Austin,WR,Monmouth (NJ),2006,6.25,8,4.47,40.5,123.0,4.14,7.09,21.0,74.0,215.0,AustMi00,nflverse-combine-derived
Jason Avant,WR,Michigan,2006,5.19,6,4.62,37.0,118.0,,,20.0,72.0,212.0,AvanJa00,nflverse-combine-derived
Brett Basanez,QB,Northwestern,2006,5.56,7,4.76,34.0,114.0,4.22,6.75,,73.0,220.0,BasaBr00,nflverse-combine-derived
Hank Baskett,WR,New Mexico,2006,6.07,7,4.5,35.0,119.0,4.17,6.79,,75.0,224.0,BaskHa00,nflverse-combine-derived
Mike Bell,RB,Arizona,2006,5.24,8,4.6,31.5,112.0,4.21,7.16,19.0,72.0,221.0,BellMi00,nflverse-combine-derived
Matt Bernstein,RB,Wisconsin,2006,4.67,8,4.91,29.5,110.0,4.5,7.46,22.0,72.0,260.0,,nflverse-combine-derived
Troy Bienemann,TE,Washington State,2006,4.74,3,4.8,,,,,,77.0,256.0,BienTr00,nflverse-combine-derived
Damarius Bilbo,WR,Georgia Tech,2006,5.3,8,4.7,36.5,115.0,4.18,6.9,19.0,74.0,214.0,,nflverse-combine-derived
Jeremy Bloom,WR,Colorado,2006,3.72,3,4.49,,,,,,69.0,173.0,,nflverse-combine-derived
Jovon Bouknight,WR,Wyoming,2006,4.98,7,4.71,34.0,120.0,4.03,6.93,,73.0,195.0,,nflverse-combine-derived
Reggie Bush,RB,USC,2006,5.72,3,4.37,,,,,,71.0,201.0,BushRe00,nflverse-combine-derived
Dominique Byrd,TE,USC,2006,4.01,3,4.79,,,,,,75.0,255.0,ByrdDo00,nflverse-combine-derived
Brian Calhoun,RB,Wisconsin,2006,5.15,8,4.57,31.5,124.0,4.2,7.05,18.0,69.0,201.0,CalhBr00,nflverse-combine-derived
Jason Carter,WR,Texas A&M,2006,4.92,7,4.6,33.0,116.0,4.21,6.89,,72.0,211.0,CartJa00,nflverse-combine-derived
Kellen Clemens,QB,Oregon,2006,4.32,3,4.89,,,,,,74.0,224.0,ClemKe00,nflverse-combine-derived
Marques Colston,WR,Hofstra,2006,5.91,8,4.5,37.0,123.0,4.43,6.94,16.0,77.0,224.0,ColsMa00,nflverse-combine-derived
Brodie Croyle,QB,Alabama,2006,4.12,7,4.88,30.5,104.0,4.25,7.34,,74.0,205.0,CroyBr00,nflverse-combine-derived
Jay Cutler,QB,Vanderbilt,2006,5.92,6,4.77,,,4.26,7.1,23.0,75.0,226.0,CutlJa00,nflverse-combine-derived
Owen Daniels,TE,Wisconsin,2006,5.81,8,4.65,34.5,114.0,4.1,6.87,23.0,75.0,253.0,DaniOw00,nflverse-combine-derived
P.J. Daniels,RB,Georgia Tech,2006,4.99,8,4.64,33.0,116.0,4.4,7.13,21.0,70.0,214.0,DaniP.00,nflverse-combine-derived
Vernon Davis,TE,Maryland,2006,7.35,8,4.38,42.0,128.0,4.17,7.0,33.0,75.0,254.0,DaviVe00,nflverse-combine-derived
Charles Davis,TE,Purdue,2006,4.67,8,4.87,31.5,108.0,4.37,7.53,27.0,77.0,263.0,,nflverse-combine-derived
Tim Day,TE,Oregon,2006,5.34,8,4.74,35.0,109.0,4.2,7.03,24.0,75.0,256.0,,nflverse-combine-derived
Chris Denney,WR,Nebraska-Omaha,2006,4.66,8,4.65,33.0,110.0,4.33,7.02,13.0,75.0,224.0,,nflverse-combine-derived
Bruce Eugene,QB,Grambling State,2006,2.43,7,5.12,27.5,94.0,4.76,7.97,,72.0,260.0,,nflverse-combine-derived
Anthony Fasano,TE,Notre Dame,2006,5.3,8,4.72,33.5,112.0,4.34,6.94,19.0,76.0,259.0,FasaAn00,nflverse-combine-derived
Daniel Fells,TE,California-Davis,2006,3.96,8,4.95,29.5,108.0,4.46,7.27,19.0,75.0,259.0,FellDa00,nflverse-combine-derived
Quinton Ganther,RB,Utah,2006,5.76,7,4.5,35.0,119.0,,7.19,29.0,69.0,218.0,GantQu00,nflverse-combine-derived
Ryan Gilbert,RB,Houston,2006,5.5,3,4.6,,,,,,70.0,228.0,,nflverse-combine-derived
Bruce Gradkowski,QB,Toledo,2006,5.23,7,4.59,34.0,107.0,4.16,7.12,,73.0,217.0,GradBr00,nflverse-combine-derived
Skyler Green,WR,LSU,2006,4.06,5,4.53,34.0,118.0,,,,69.0,192.0,GreeSk20,nflverse-combine-derived
Darrell Hackney,QB,Ala-Birmingham,2006,3.87,7,4.82,33.0,110.0,4.69,7.62,,72.0,239.0,,nflverse-combine-derived
Derek Hagan,WR,Arizona State,2006,6.05,6,4.45,36.0,124.0,4.07,,,74.0,208.0,HagaDe00,nflverse-combine-derived
Marques Hagans,RB,Virginia,2006,4.84,7,4.67,35.0,114.0,4.38,7.03,,69.0,202.0,HagaMa00,nflverse-combine-derived
Andre Hall,RB,South Florida,2006,4.64,7,4.4,33.0,113.0,,7.38,18.0,68.0,208.0,HallAn01,nflverse-combine-derived
Chris Hannon,WR,Tennessee,2006,5.67,5,4.48,34.5,122.0,,,,75.0,205.0,,nflverse-combine-derived
Gilbert Harris,RB,Arizona,2006,5.89,8,4.73,36.0,117.0,4.38,7.0,20.0,74.0,235.0,HarrGi00,nflverse-combine-derived
Jerome Harrison,RB,Washington State,2006,5.86,8,4.47,34.5,124.0,4.07,6.77,19.0,69.0,201.0,HarrJe00,nflverse-combine-derived
Mike Hass,WR,Oregon State,2006,4.96,7,4.59,32.0,116.0,4.14,6.97,,73.0,208.0,HassMi00,nflverse-combine-derived
Taurean Henderson,RB,Texas Tech,2006,4.65,7,4.62,32.5,112.0,4.4,7.01,,69.0,204.0,,nflverse-combine-derived
Matt Henshaw,TE,Florida State,2006,4.11,8,4.73,29.0,111.0,4.44,7.44,16.0,76.0,248.0,,nflverse-combine-derived
Devin Hester,WR,Miami (FL),2006,5.31,6,4.41,38.0,124.0,,,16.0,71.0,190.0,HestDe99,nflverse-combine-derived
Ed Hinkel,WR,Iowa,2006,4.89,7,4.54,34.0,116.0,4.1,6.97,,72.0,190.0,,nflverse-combine-derived
Santonio Holmes,WR,Ohio State,2006,5.47,3,4.35,,,,,,71.0,188.0,HolmSa00,nflverse-combine-derived
Cedric Humes,RB,Virginia Tech,2006,5.15,8,4.62,30.5,106.0,4.22,7.07,18.0,73.0,227.0,,nflverse-combine-derived
Chad Jackson,WR,Florida,2006,6.79,7,4.32,38.5,122.0,3.97,6.73,,73.0,213.0,JackCh00,nflverse-combine-derived
Tarvaris Jackson,QB,Arkansas,2006,4.95,8,4.69,31.5,107.0,4.38,7.4,22.0,74.0,226.0,JackTa00,nflverse-combine-derived
Omar Jacobs,QB,Bowling Green,2006,4.93,7,4.84,32.5,108.0,4.29,7.47,,76.0,232.0,,nflverse-combine-derived
Adam Jennings,WR,Fresno State,2006,5.04,7,4.44,37.5,118.0,4.12,6.88,,69.0,181.0,JennAd00,nflverse-combine-derived
Greg Jennings,WR,West. Michigan,2006,5.58,7,4.42,36.5,117.0,4.16,6.68,,71.0,197.0,JennGr00,nflverse-combine-derived
Maurice Jones-Drew,RB,UCLA,2006,5.03,8,4.39,36.0,116.0,4.38,7.08,18.0,67.0,207.0,DrewMa00,nflverse-combine-derived
Jeff King,TE,Virginia Tech,2006,5.25,8,4.83,32.5,109.0,4.09,6.99,21.0,77.0,245.0,KingJe00,nflverse-combine-derived
David Kirtman,RB,USC,2006,4.62,7,4.76,29.5,106.0,4.31,7.18,,71.0,233.0,KirtDa00,nflverse-combine-derived
Joe Klopfenstein,TE,Colorado,2006,5.81,8,4.63,36.0,112.0,4.21,7.39,27.0,78.0,255.0,KlopJo00,nflverse-combine-derived
Greg Lee,WR,Pittsburgh,2006,5.38,7,4.59,35.5,114.0,4.09,6.8,,74.0,201.0,,nflverse-combine-derived
Matt Leinart,QB,USC,2006,5.25,3,4.9,,,,,,77.0,223.0,LeinMa00,nflverse-combine-derived
Marcedes Lewis,TE,UCLA,2006,5.22,8,4.8,37.0,118.0,4.82,7.24,23.0,78.0,261.0,LewiMa00,nflverse-combine-derived
Travis Lulay,QB,Montana State,2006,5.71,7,4.71,35.0,111.0,4.07,6.93,,74.0,216.0,,nflverse-combine-derived
Wali Lundy,RB,Virginia,2006,5.3,8,4.48,35.0,111.0,4.36,6.99,18.0,71.0,214.0,LundWa00,nflverse-combine-derived
Laurence Maroney,RB,Minnesota,2006,6.15,3,4.48,,,,,,72.0,217.0,MaroLa00,nflverse-combine-derived
Brandon Marshall,WR,Central Florida,2006,6.32,5,4.52,37.0,120.0,,,,76.0,229.0,MarsBr00,nflverse-combine-derived
Ingle Martin,QB,Furman,2006,5.49,7,4.71,36.0,111.0,4.17,7.13,,74.0,220.0,MartIn00,nflverse-combine-derived
Tim Massaquoi,TE,Michigan,2006,5.18,4,4.85,,,,,32.0,75.0,259.0,MassTi20,nflverse-combine-derived
Wendell Mathis,RB,Fresno State,2006,5.56,8,4.51,33.0,117.0,4.22,6.93,20.0,71.0,210.0,,nflverse-combine-derived
Reggie McNeal,QB,Texas A&M,2006,5.72,7,4.4,32.0,121.0,4.25,6.96,,74.0,198.0,McNeRe00,nflverse-combine-derived
Erik Meyer,QB,East. Washington,2006,5.43,7,4.67,32.5,112.0,4.12,6.83,,73.0,210.0,,nflverse-combine-derived
Garrett Mills,RB,Tulsa,2006,6.36,8,4.64,35.5,111.0,4.05,6.81,23.0,73.0,241.0,MillGa01,nflverse-combine-derived
Anthony Mix,WR,Auburn,2006,5.56,5,4.48,31.5,111.0,,,,76.0,235.0,MixxAn00,nflverse-combine-derived
DonTrell Moore,RB,New Mexico,2006,4.88,8,4.64,32.0,116.0,4.32,7.1,18.0,70.0,210.0,,nflverse-combine-derived
Sinorice Moss,WR,Miami (FL),2006,4.44,3,4.38,,,,,,68.0,185.0,MossSi00,nflverse-combine-derived
Martin Nance,WR,Miami (OH),2006,5.55,7,4.55,33.5,112.0,4.08,6.91,,76.0,213.0,NancMa00,nflverse-combine-derived
Barrick Nealy,QB,Texas State,2006,5.99,7,4.57,32.5,114.0,4.26,6.94,,76.0,226.0,,nflverse-combine-derived
Jerious Norwood,RB,Mississippi State,2006,6.07,8,4.4,36.5,122.0,4.25,6.81,15.0,72.0,210.0,NorwJe00,nflverse-combine-derived
Ben Obomanu,WR,Auburn,2006,5.34,7,4.45,38.0,116.0,4.21,7.17,,73.0,205.0,ObomBe00,nflverse-combine-derived
Drew Olson,QB,UCLA,2006,2.9,6,5.09,23.0,97.0,4.42,,,74.0,222.0,,nflverse-combine-derived
Jonathan Orr,WR,Wisconsin,2006,5.23,7,4.44,35.5,119.0,4.16,7.31,,74.0,198.0,,nflverse-combine-derived
Paul Pinegar,QB,Fresno State,2006,4.38,7,5.1,29.0,110.0,4.49,7.36,,77.0,232.0,,nflverse-combine-derived
Jason Pociask,TE,Wisconsin,2006,4.92,8,4.84,32.5,115.0,4.3,7.31,23.0,75.0,266.0,PociJa00,nflverse-combine-derived
Leonard Pope,TE,Georgia,2006,5.66,8,4.62,37.5,118.0,4.67,7.47,22.0,80.0,258.0,PopeLe00,nflverse-combine-derived
Quinton Porter,QB,Boston Col.,2006,6.64,7,4.67,33.5,116.0,4.1,6.76,,77.0,233.0,,nflverse-combine-derived
Willie Reid,WR,Florida State,2006,5.06,7,4.34,37.5,117.0,4.26,7.06,,70.0,188.0,ReidWi00,nflverse-combine-derived
Gerald Riggs,RB,Tennessee,2006,5.86,3,4.62,,,,,,71.0,232.0,,nflverse-combine-derived
Michael Robinson,WR,Penn State,2006,6.16,3,4.57,,,,,,73.0,227.0,RobiMi00,nflverse-combine-derived
Cory Rodgers,WR,TCU,2006,3.98,7,4.58,33.5,110.0,4.19,7.37,,72.0,188.0,,nflverse-combine-derived
Richie Ross,WR,Nebraska-Kearney,2006,5.57,7,4.61,37.0,120.0,4.29,6.95,,76.0,209.0,,nflverse-combine-derived
Cory Ross,RB,Nebraska,2006,3.5,4,4.58,,,,,15.0,66.0,201.0,RossCo00,nflverse-combine-derived
Derrick Ross,RB,Tarleton State,2006,5.34,8,4.56,35.0,112.0,4.35,7.0,20.0,70.0,226.0,RossDe00,nflverse-combine-derived
Tony Scheffler,TE,West. Michigan,2006,6.17,8,4.54,33.5,115.0,4.01,6.81,17.0,77.0,254.0,ScheTo00,nflverse-combine-derived
D.J. Shockley,QB,Georgia,2006,5.95,7,4.56,37.5,121.0,4.17,7.07,,73.0,214.0,,nflverse-combine-derived
Kent Smith,QB,Central Michigan,2006,5.64,7,4.57,35.0,122.0,4.47,7.41,,77.0,216.0,,nflverse-combine-derived
Brad Smith,WR,Missouri,2006,6.11,7,4.46,39.5,128.0,4.33,7.0,,74.0,213.0,SmitBr01,nflverse-combine-derived
Clinton Solomon,WR,Iowa,2006,4.63,7,4.58,33.0,114.0,4.46,7.17,,75.0,214.0,,nflverse-combine-derived
Maurice Stovall,WR,Notre Dame,2006,6.06,7,4.57,35.0,122.0,4.14,6.81,,76.0,217.0,StovMa00,nflverse-combine-derived
Quinn Sypniewski,TE,Colorado,2006,5.3,8,4.77,32.5,114.0,4.52,7.09,20.0,78.0,268.0,SypnQu00,nflverse-combine-derived
Naufahu Tahi,RB,BYU,2006,4.43,8,4.85,29.0,101.0,4.7,7.72,35.0,72.0,254.0,TahiNa00,nflverse-combine-derived
David Thomas,TE,Texas,2006,5.32,8,4.67,37.5,113.0,4.34,7.05,19.0,75.0,252.0,ThomDa02,nflverse-combine-derived
Marcus Vick,QB,Virginia Tech,2006,5.75,7,4.47,36.0,117.0,4.08,6.94,,72.0,200.0,VickMa20,nflverse-combine-derived
Lawrence Vickers,RB,Colorado,2006,4.11,8,4.82,30.5,104.0,4.63,7.74,21.0,72.0,245.0,VickLa00,nflverse-combine-derived
Delanie Walker,WR,Central Missouri State,2006,6.03,5,4.49,36.5,118.0,,,,73.0,240.0,WalkHu00,nflverse-combine-derived
Cooper Wallace,TE,Auburn,2006,4.58,8,4.78,29.0,105.0,4.21,7.29,21.0,76.0,261.0,WallCo00,nflverse-combine-derived
Leon Washington,RB,Florida State,2006,4.5,8,4.42,32.5,105.0,4.37,6.94,17.0,68.0,201.0,WashLe00,nflverse-combine-derived
Todd Watkins,WR,BYU,2006,5.32,8,4.4,36.0,118.0,4.24,7.13,15.0,74.0,202.0,WatkTo20,nflverse-combine-derived
Jeff Webb,WR,San Diego State,2006,6.5,7,4.4,37.0,126.0,4.08,6.81,,74.0,211.0,WebbJe00,nflverse-combine-derived
LenDale White,RB,USC,2006,6.74,3,4.49,,,,,,72.0,238.0,WhitLe01,nflverse-combine-derived
Terrence Whitehead,RB,Oregon,2006,4.46,7,4.69,30.5,108.0,4.27,7.21,,70.0,209.0,,nflverse-combine-derived
Charlie Whitehurst,QB,Clemson,2006,5.96,7,4.75,33.0,112.0,4.11,7.0,,77.0,223.0,WhitCh02,nflverse-combine-derived
