pfr_id,name,birth_date
ColePa00,Pat Coleman,1967-04-08
ColeRo00,Ronnie Coleman,1951-07-09
CollCr00,Cris Collinsworth,1959-01-27
CoatBe00,Ben Coates,1969-08-16
CollSh00,Shawn Collins,1967-02-20
CollTo00,Todd Collins,1971-11-05
CollTo01,Tony Collins,1959-05-27
ConnAl00,Albert Connell,1974-05-13
ConwCu00,Curtis Conway,1971-01-13
ConwEr00,Ernie Conwell,1972-08-17
CookMa00,Marv Cook,1966-02-24
CollKe00,Kerry Collins,1972-12-30
CoopEa00,Earl Cooper,1957-09-17
CopeHo00,Horace Copeland,1971-01-02
CoopAd00,Adrian Cooper,1968-04-27
CosbDo00,Doug Cosbie,1956-03-27
CopeRu00,Russell Copeland,1971-11-14
CoxxAr00,Arthur Cox,1961-02-05
CoxxAa00,Aaron Cox,1965-03-13
CrafDo00,Donnie Craft,1959-11-19
CraiRo00,Roger Craig,1960-07-10
CravAa00,Aaron Craver,1968-12-18
CribJo00,Joe Cribbs,1958-01-05
CrocZa00,Zack Crockett,1972-12-02
CrooCo00,Corey Croom,1971-05-22
CrosHo00,Howard Cross,1967-08-08
CritRa00,Ray Crittenden,1970-03-01
CrowGe00,Germane Crowell,1976-09-13
CrumCa00,Carlester Crumpler,1971-09-05
CrutDw00,Dwayne Crutchfield,1959-09-30
CullDe00,Derrick Cullors,1972-12-26
CulvRo00,Rodney Culver,1969-12-23
CunnBe00,Bennie Cunningham,1954-12-23
CunnRa00,Randall Cunningham,1963-03-27
CunnSa00,Sam Cunningham,1950-08-15
CurtIs00,Isaac Curtis,1950-10-20
DaniGa00,Gary Danielson,1951-09-10
DaveRo00,Ron Davenport,1962-12-22
DaviBi00,Billy Davis,1972-07-06
CrouRa00,Ray Crouse,1959-03-16
DaviKe00,Kenneth Davis,1962-04-16
DaviSt00,Stephen Davis,1974-03-01
DaviJo01,Johnny Davis,1956-07-17
DaviTr00,Troy Davis,1975-09-14
DaviTy00,Tyrone Davis,1972-06-30
DaviTe00,Terrell Davis,1972-10-28
DaviWe00,Wendell Davis,1966-01-03
DaviWi00,Willie Davis,1967-10-10
DawkJu00,Julius Dawkins,1961-01-04
DawsLa00,Lawrence Dawsey,1967-11-16
DawsLa01,Lake Dawson,1972-01-02
DawsLi00,Lin Dawson,1959-06-24
DawkSe00,Sean Dawkins,1971-02-03
DawsSt20,Stacey Dawsey,1965-10-24
DeLoGr00,Greg DeLong,1973-04-03
DeRaLe00,Lee DeRamus,1972-08-24
DebeSt00,Steve DeBerg,1954-01-19
DelaJo00,Joe Delaney,1958-10-30
DelpRo00,Robert Delpino,1965-11-02
DennGl00,Glenn Dennison,1961-11-17
DetmKo00,Koy Detmer,1973-07-05
DetmTy00,Ty Detmer,1967-10-30
DickCu00,Curtis Dickey,1956-11-27
DennPr00,Preston Dennard,1955-11-28
DickEr00,Eric Dickerson,1960-09-02
DickLy00,Lynn Dickey,1949-10-19
DierSc00,Scott Dierking,1955-05-24
DidiCl00,Clint Didier,1959-04-04
DilgKe00,Ken Dilger,1971-02-02
DillCo00,Corey Dillon,1974-10-24
DilsSt00,Steve Dils,1955-12-08
DilwAn00,Anthony Dilweg,1965-03-28
DixoAl00,Al Dixon,1954-04-05
DixoFl00,Floyd Dixon,1964-04-09
DixoJa00,James Dixon,1967-02-02
